,company_id,opt_in_source
308,298,SOCIAL
309,1207,SOCIALAPI
310,298,SONIC
311,298,SONICREXDOPTIN
312,298,SPECIAL
313,298,SPECIALS
314,1207,SPICY
315,298,START
316,1482,START
317,298,STARTV3
318,1581,STEAK
319,1482,STORM
320,298,SUBSCRIBE
321,298,SUBSCRIBEV3
322,298,SUMMER
323,1482,SUNDAY
324,298,SUNNY
325,298,SWEET
326,1482,SWEET
327,1482,SWEETCIRCLEK
328,298,SWEETV3
329,298,TASTY
330,1482,TCCOPTINAPI
331,1207,TEACHER
332,1482,TEXT
333,1482,TEXTME
334,1482,THUNDER
335,1482,THUNDER23
336,1482,THURSDAY
337,1634,TIKI
338,1207,TILE
339,1580,TILE
340,298,TOASTER
341,298,TOASTERS
342,1482,TUESDAY
343,1558,UDRIVE
344,1543,WABA
345,1543,WABAGRILLSITE
346,1543,WABAWEBREGISTERAPI
347,298,WAKEUP
348,298,WAKEUPV3
349,298,WEB
350,278,WEB
351,461,WEB
352,298,WEBOPTIN
353,1207,WEBTOPLEVL
354,1207,WECLOMEPAIDMEDIAAPI
355,1482,WEDNESDAY
356,1207,WELCOME
357,1207,WELCOME2
358,1207,WELCOMEAPI
359,1552,WENDYBECHADQUIREAPI
360,1552,WENDYSAQUIREAPI
361,1552,WENDYSRAFGA
362,1552,WENDYYOUNGADQUIREAPI
363,1207,WINGS
364,1207,WON1
365,1482,WONKAHATRAF
366,1207,WORD
367,1207,YES
368,298,YUM
369,1207,YUM
370,1207,YUMAPI
371,298,YUMMY
372,298,YUMMYV3
373,298,YUMV3
374,1482,ZIPPY
375,763,
376,832,
377,1207,
378,852,
379,1104,
380,1648,
381,982,
382,784,
383,1023,
384,1314,
385,1597,
386,1406,
387,315,
388,1542,
389,568,
390,447,
391,762,
392,1070,
393,1325,
394,1093,
395,1437,
396,1448,
397,440,
398,1573,
399,841,
400,1401,
401,1089,
402,1055,
403,983,
404,1366,
405,649,
406,1583,
407,1094,
408,1558,
409,1602,
410,1603,
411,943,
412,519,
413,1060,
414,1561,
415,1579,
416,1605,
417,766,
418,298,
419,437,
420,1318,
421,796,
422,278,
423,780,
424,1311,
425,946,
426,1324,
427,708,
428,1585,
429,948,
430,1577,
431,1054,
432,1061,
433,1338,
434,1532,
435,1069,
436,1536,
437,1534,
438,777,
439,845,
440,773,
441,676,
442,1322,
443,910,
444,1410,
445,1634,
446,980,
447,1043,
448,1068,
449,1556,
450,1111,
451,782,
452,353,
453,923,
454,1050,
455,1373,
456,1103,
457,1575,
458,837,
459,559,
460,1589,
461,1071,
462,97,
463,1083,
464,496,
465,1595,
466,478,
467,1090,
468,603,
469,1059,
470,1340,
471,461,
472,1464,
473,802,
474,1552,
475,830,
476,674,
477,1339,
478,675,
479,967,
480,1571,
481,1593,
482,1091,
483,791,
484,783,
485,1566,
486,1095,
487,1012,
488,700,
489,1011,
490,1584,
491,629,
492,1515,
493,1543,
494,1319,
495,1547,
496,1482,
497,904,
498,1568,
499,716,
500,294,
501,1441,
502,161,
503,1581,
504,1376,
505,1266,
506,1015,
507,526,
508,1099,
509,1533,
510,1613,
511,951,
512,1646,
513,469,
514,1544,
515,642,
516,1551,
517,761,
518,550,
519,992,
520,1034,
521,1077,
522,1098,
523,1109,
524,1398,
525,672,
526,1580,
527,641,
528,1591,
529,1126,
530,1548,
531,1578,
532,1042,
533,494,
534,257,
535,741,
536,616,
537,664,
538,1317,
539,1644,
540,887,
